SIRFER TCEA-IRMS-HO,,,,,,,,
Job #24- 215.1,,,Analyst:,,Suvankar Chakraborty,,,
Primary reference 1 (PLRM-1):  ,,DS,Primary reference 2 (PLRM-2): ,,ORX,,,
Secondary reference (SLRM): ,,POW,Wt% standard:,,,,,
Date loaded:,,,Date analyzed:,,6/02/2024,,,
SIRFER #,Original ID,d2HVSMOW (‰),d18OVSMOW (‰),Wt% H,Wt% O,%O:%H ratio,ID on envelope,Other sample notes
average,,-172,6.0,5.9,22.5,,,
standard uncertainty,,1.5,0.2,0.0,0.2,,,
,Sample ID,d2HVSMOW (‰),d18OVSMOW (‰),Wt% H,Wt% O,%O:%H ratio,,
ORX,ORX,-34.0,24.5,5.8,22.0,3.8,,
d2HVSMOW = -34.0‰,ORX,-34.0,24.7,5.7,22.0,3.9,,
d18OVSMOW = +25.09‰,ORX,-34.1,25.3,5.7,21.8,3.8,,
,ORX,-32.5,25.1,5.8,22.4,3.8,,
,ORX,-35.2,25.3,5.7,21.9,3.9,,
,ORX,-34.2,25.1,5.7,21.9,3.9,,
average,,-34.0,25.0,5.7,22.0,,,
standard uncertainty,,0.9,0.3,0.1,0.2,,,
Quality Control,,,,,,,,
,Sample ID,2H/1HVSMOW,18O/16OVSMOW,Wt% H,Wt% O,O:H ratio,,
POW,POW,-99.0,12.6,5.9,22.0,3.7,,
d2HVSMOW = -100.9‰,POW,-98.4,12.6,5.9,21.9,3.7,,
d18OVSMOW = +12.34‰,POW,-101.3,12.6,5.9,22.0,3.7,,
,POW,-101.3,12.1,5.9,22.1,3.8,,
,POW,-99.9,12.7,5.9,22.0,3.7,,
,POW,-99.9,12.3,6.0,22.3,3.7,,
average,,-100.0,12.5,5.9,22.1,,,
standard uncertainty,,1.2,0.2,0.0,0.1,,,
acceptable range,d2HVSMOW,-102.9,,,,,,
1 sigma = 2.0,,-98.9,,,,,,
acceptable range,d18OVSMOW,,12.1,,,,,
1 sigma = 0.20,,,12.5,,,,,
,,,,,,,,
SIRFER TCEA-IRMS-HO,,,,,,,,
Job #24- 215.3,,,Analyst:,,Suvankar Chakraborty,,,
Primary reference 1 (PLRM-1):  ,,DS,Primary reference 2 (PLRM-2): ,,ORX,,,
Secondary reference (SLRM): ,,POW,Wt% standard:,,,,,
Date loaded:,,,Date analyzed:,,6/20/2024,,,
SIRFER #,Original ID,d2HVSMOW (‰),d18OVSMOW (‰),Wt% H,Wt% O,%O:%H ratio,ID on envelope,Other sample notes
,76,-40,13.5,5.6,22.7,4.1,1412-19601,Black Rail South Carolina
,77,-29,14.1,5.5,22.5,4.1,1412-19602,Black Rail South Carolina
,78,-43,12.2,5.7,22.7,4.0,2701-17001,Black Rail South Carolina
,79,-16,16.3,5.4,21.3,3.9,2331-59052,Black Rail Sargent
,80,-28,15.7,5.7,22.4,3.9,2331-59051,Black Rail Sargent
,81,-42,15.9,5.5,21.3,3.9,2331-59053,Black Rail Sargent
,82,-43,13.8,5.7,22.0,3.8,2381-59050,Black Rail Sargent
,83,-35,13.4,5.4,21.8,4.0,2331-59054,Black Rail Sargent
,84,-36,15.6,5.5,21.9,4.0,BLRA #1,Bolivar Flats
,85,-41,14.9,5.4,21.1,3.9,BLRA #2,Bolivar Flats
,86,-43,15.1,5.6,21.8,3.9,1191-74623,BLRA female FL
,87,-38,14.5,5.8,22.2,3.8,1191-74622,Black Rail FL
,88,-29,14.7,5.8,22.3,3.8,1991-74621,Black Rail FL
,89,-30,11.9,5.7,22.1,3.9,1991-74620,BLRA FL
,90,-12,15.3,5.6,21.6,3.8,2331-159069,BLRA FL Recapture
,91,-113,6.9,5.7,21.7,3.8,1342-57910,Yellow Rail FL
,92,-93,7.5,5.8,21.9,3.8,1342-57911,Yellow Rail FL
,93,-106,7.4,5.8,21.7,3.8,1342-57916,Yellow Rail FL
,94,-124,6.1,5.7,22.1,3.9,1342-57915,Yellow Rail FL
,95,-110,6.7,5.7,21.6,3.8,1342-57909,Yellow Rail Florida
,96,-122,7.2,5.6,20.9,3.7,1342-57913,Yellow Rail FL
,97,-163,0.4,5.7,21.6,3.8,1342-57905,Yellow Rail FL
,98,-112,7.0,5.6,20.8,3.7,1342-57908,Yellow Rail Florida
,99,-118,6.1,5.5,20.8,3.8,1342-57914,Yellow Rail Florida
,100,-108,6.8,5.6,21.3,3.8,1342-57912,Yellow Rail Florida
,101,-153,4.4,6.5,25.9,4.0,San Deigo YERA - Feather #1,Feather #1 - Rectrices
,102,-156,4.5,5.6,20.7,3.7,San Diego YERA - Feather #2,Feather #2 - s5
,103,-152,4.0,5.1,21.7,4.2,San Diego YERA - Feathers #3-5,Flank
,104,-148,2.3,5.6,21.3,3.8,1422-07512,Yellow Rail
,105,-87,8.0,5.6,21.2,3.8,1422-07518,Yellow Rail
,106,-147,3.7,5.3,20.0,3.8,1422-07514,Yellow Rail
,107,-146,1.2,5.4,21.0,3.9,1422-07515,Yellow Rail
,108,-59,10.4,5.2,19.8,3.8,1422-07513,Yellow Rail
,109,-137,3.3,5.4,20.2,3.8,1422-07516,Yellow Rail
,110,-145,4.8,5.3,20.0,3.8,1422-08063,Yellow Rail
,111,-123,5.4,5.6,21.6,3.9,1422-07517,Yellow Rail
Quality Assurance,,,,,,,,
,Sample ID,d2HVSMOW (‰),d18OVSMOW (‰),Wt% H,Wt% O,%O:%H ratio,,
DS,DS,-174.0,6.1,6.0,22.4,3.7,,
d2HVSMOW = -172.7‰,DS,-171.5,6.0,5.8,22.1,3.8,,
d18OVSMOW = +6.02‰,DS,-170.9,6.4,5.9,22.2,3.8,,
,DS,-171.7,5.7,5.9,21.8,3.7,,
,DS,-170.7,5.9,5.8,22.0,3.8,,
,DS,-173.1,6.0,5.9,21.6,3.7,,
average,,-172,6.0,5.9,22.0,,,
standard uncertainty,,1.3,0.2,0.1,0.3,,,
,Sample ID,d2HVSMOW (‰),d18OVSMOW (‰),Wt% H,Wt% O,%O:%H ratio,,
ORX,ORX,-33.7,25.1,5.7,22.1,3.9,,
d2HVSMOW = -34.0‰,ORX,-31.5,24.9,5.7,22.0,3.8,,
d18OVSMOW = +25.09‰,ORX,-35.0,24.9,5.7,22.1,3.9,,
,ORX,-35.4,25.4,5.7,21.9,3.8,,
,ORX,-34.4,25.0,6.3,21.9,3.5,,
,ORX,-34.2,25.1,5.7,22.2,3.9,,
average,,-34.0,25.1,5.8,22.0,,,
standard uncertainty,,1.4,0.2,0.2,0.1,,,
Quality Control,,,,,,,,
,Sample ID,2H/1HVSMOW,18O/16OVSMOW,Wt% H,Wt% O,O:H ratio,,
POW,POW,-101.4,12.5,5.9,21.8,3.7,,
d2HVSMOW = -100.9‰,POW,-101.3,12.6,5.9,21.5,3.7,,
d18OVSMOW = +12.34‰,POW,-97.6,12.4,5.9,21.4,3.6,,
,POW,-99.9,12.1,5.9,21.4,3.6,,
,POW,-98.5,12.4,5.9,21.9,3.7,,
,POW,-98.0,12.5,5.8,21.5,3.7,,
average,,-99.4,12.4,5.9,21.6,,,
standard uncertainty,,1.7,0.2,0.0,0.2,,,
acceptable range,d2HVSMOW,-102.9,,,,,,
1 sigma = 2.0,,-98.9,,,,,,
acceptable range,d18OVSMOW,,12.1,,,,,
1 sigma = 0.20,,,12.5,,,,,
,,,,,,,,
SIRFER TCEA-IRMS-HO,,,,,,,,
Job #24- 215.4,,,Analyst:,,Suvankar Chakraborty,,,
Primary reference 1 (PLRM-1):  ,,DS,Primary reference 2 (PLRM-2): ,,ORX,,,
Secondary reference (SLRM): ,,POW,Wt% standard:,,,,,
Date loaded:,,,Date analyzed:,,6/26/2024,,,
